S,xi1,xi2
102.60479860783305,-0.0017194979904350707,-0.017150767861551265
102.52569033239475,-0.0021889046378439536,-0.01904566188041739
102.25429457523813,0.001987472761537631,-0.021457581184202597
102.45269325347937,-0.0006893456423706255,-0.01950570930740783
102.45719720550296,5.7023641326837786e-05,-0.019819472541791835
102.86255817936116,-0.003936450915869048,-0.017857704570483152
102.83924306112868,0.0007974932154029115,-0.02230397535938546
101.85084943525487,0.0033768412490754155,-0.02350666712078593
102.13039419455782,0.000896848592917427,-0.021685155243582083
101.48497934735454,-0.0012813699370782007,-0.020592778763993982
101.99690518115032,-0.004214672891701195,-0.0183406553116448
102.5741854945009,-0.0058663821725811055,-0.016306791422740642
102.4431633311418,-0.006925869793094794,-0.014598333545316793
102.09520167693294,-0.006963613383094594,-0.014428018547445978
101.67988658252354,-0.007410133820116768,-0.01391152700732495
101.93551826219242,-0.003078457217209108,-0.0184714884331309
101.8705441014728,-0.0014414551822057354,-0.018841003115902945
101.67258454672877,0.0007664011829679642,-0.020531147633823767
101.58959426898282,0.002455222404471809,-0.02114114986110804
102.318117314316,0.007739660203124837,-0.022565489413414033
102.4484182136106,0.00692166730543838,-0.022166289006673407
102.72577461007639,0.01100249444927109,-0.02339532245976379
103.027828033619,0.011809360730518989,-0.02377811838919321
103.4273960204442,0.01037924097262074,-0.024335495819167018
103.84072985725547,0.013684713402709794,-0.02391979689870983
103.55529392951833,0.0162201843887892,-0.022300594271744502
103.46667975469632,0.012825989178327288,-0.02289683128375309
103.16422240759626,0.014390946497649083,-0.023050991808244804
102.87773619816524,0.01624787677202058,-0.022703052400674443
103.3456383817891,0.015640173751835216,-0.022032019867802944
103.14030591071293,0.014140449674991102,-0.021418300843035126
103.10854046749286,0.012317864059891138,-0.021483283305900283
102.8349085384626,0.008294324034879114,-0.02244079241013093
102.61000715141624,0.007464691127467329,-0.022290135723185
102.90559685559037,0.007554568850586485,-0.023098868241337386
102.7381596722961,0.005054853903139886,-0.023489740508074217
102.56271471854014,0.006947124956572369,-0.023658755993796066
102.74669618568714,0.007651559391516618,-0.02288698814300704
102.93515764600978,0.007009255689862191,-0.02224004922836984
103.23151520830078,0.00715858264906584,-0.02339911731073281
103.2958480613331,0.003933771864778133,-0.023383168694432657
102.66282790806048,0.0054084066511698595,-0.021701513221372704
102.89333439227953,0.00804074043179065,-0.02158061444235562
103.08203323180014,0.01259720061190828,-0.020716406295465978
103.48614975137173,0.012930639601045596,-0.01987299841217023
103.14754626006533,0.016475035055594736,-0.01829869996857991
104.19439901602246,0.01573363236884999,-0.01881964432141915
103.68265126760414,0.014264345513111856,-0.020051858950955136
103.9782947329616,0.01524142468892368,-0.021955964285764427
103.99729584001948,0.01667766049767187,-0.021244335299571235
103.79442805007031,0.014223395541561452,-0.020826302278263126
104.12611717457793,0.01716586900870286,-0.020277213411772445
104.00802371104406,0.020378518808797545,-0.019117680035034543
102.99364974305254,0.021822831881233552,-0.01985745254104266
102.4852398014362,0.021435923721374504,-0.021313638000654656
102.68240954321809,0.01820088616164925,-0.02327461065485824
103.614661529757,0.02502384155795764,-0.01962156490810566
102.94722941599625,0.030279396063034522,-0.017220508643776458
102.93922235073178,0.02600609776078617,-0.020130231814005844
103.59364766951136,0.026005990560013275,-0.01963824852746622
103.86929349014112,0.02227350896739065,-0.022474083819045476
103.7047696688355,0.022532291417199937,-0.0226725799940072
103.08141321920965,0.02313644459282791,-0.021148091267836434
102.29803759181192,0.021285680527070173,-0.022581865941475692
101.97789790063705,0.018748557856223678,-0.02299441122089837
101.8246644262495,0.018320809884064673,-0.023274522018917474
100.8941185286391,0.018776722623615738,-0.023032299902859273
100.1960258840047,0.015641356304561472,-0.023901412289962426
100.31660525509781,0.011823065375185963,-0.024757110385434208
100.16024355815468,0.00844012640938282,-0.025283382959215662
99.88031390245261,0.010027905574349226,-0.025083344410417235
99.72730511362407,0.011514691869034858,-0.024853556039511556
99.41892613941972,0.010706127389381172,-0.024860050065541407
99.76795910273603,0.010579252104953286,-0.02396823222291903
100.38620004511165,0.011732941383976677,-0.023259611646106446
101.1793882717665,0.01648516972365948,-0.02237135058091799
101.46680486215043,0.015448860946265611,-0.022055128585991672
101.76720135663632,0.017636268201116908,-0.021325612750006835
102.3706829997851,0.01802905828620276,-0.02117110128797269
103.09467642222997,0.021052738418930496,-0.019238616647214078
103.72991279790482,0.024240803884235912,-0.017985754455192397
104.27515805947178,0.027647305903482276,-0.015691799709642545
103.97863622454422,0.025236922444086533,-0.01631847455133354
103.24886508844796,0.026167329238432114,-0.014152364765862535
103.65147661717002,0.03166637099712802,-0.010951954681207654
103.60582990151802,0.033439421169149754,-0.0090878425695737
103.57817999887733,0.03393683927804252,-0.007662144345740845
103.13539219826636,0.03292240898858686,-0.008194432607455166
102.49615301463852,0.036185558777128445,-0.005360677675612785
103.20295880999866,0.03850958631056056,-0.00021598882735349503
103.4453156593919,0.04255555475814057,0.006786344436354593
